Azure SQL データベースはさまざまなリージョンに、ストレージアカウントはさまざまなリージョンにあります。監査を有効にする際、どのデータベースが監査履歴を別の地域のストレージアカウントに送信できるでしょうか?|SQLdb1(米国東部)からstorion1(米国東部)へ – はい|SQLdb2(西ヨーロッパ)からstorudy2(米国東部)へ – いいえ|SQLdb3(東南アジア)からstorudy2(米国東部)へ – はい|SQLdb1(米国東部)からstorud2(米国東部)へ – いいえ|||||A|"正しい選択はAです。理由は以下の通りです。Azure SQL Databaseの監査では、監査ログは通常、データベースと同じリージョンにあるストレージアカウントに送信される必要があります。SQLdb1とstorion1はともに米国東部にあり、リージョン要件を満たすため、監査履歴を正常に送信可能です。BおよびCのクロスリージョン送信はサポートされておらず、Dはラベルの誤りです。"|Microsoft Azure ドキュメント|Cloud::Azure::SQLDatabase, Cloud::Azure::Monitoring, Cloud::Azure::Storage
オンプレミスのSQL Server 2012データベースと、SQL Server 2014からAzureへ単一のテーブルを移行する必要があります。どのツールを使うべきですか?|SQL 2012:データ移行アシスタント、SQL 2014 表:Azure Cosmos DB データ移行ツール|SQL 2012:AzCopy、SQL 2014 表:データ管理ゲートウェイ|SQL 2012:データ管理ゲートウェイ、SQL 2014 表:データ移行アシスタント|SQL 2012:Azure Cosmos DB データ移行ツール、SQL 2014 表:AzCopy|||||A|"正しい選択はAです。理由は以下の通りです。オンプレミスのSQL Server 2012データベースはデータ移行アシスタント(DMA)で評価・移行可能であり、互換性チェックやスキーマ・データ移行をサポートします。SQL Server 2014の単一テーブルは、Azure Cosmos DB データ移行ツールを使用することで、SQL ServerからCosmos DBへのテーブルデータ移行を効率的に実行できます。他の選択肢はSQL ServerからAzureへの標準的な移行ツールとして適していません。"|Microsoft Azure ドキュメント|Cloud::Azure::SQLServer, Cloud::Azure::DataMigration, Cloud::Azure::CosmosDB
デジタル画像管理アプリをAzureに移行しています。保存時に画像を暗号化し、最大50MBのファイルをサポートし、フロントドアのWAFからアクセス可能である必要があります。顧客アカウントデータは、複数リージョンの読み取り/書き込みおよび自動スケーリングをサポートしている必要があります。どのストレージソリューションを使用すべきですか?|画像:Azure Blob ストレージ、アカウント: Azure Cosmos DB|画像:Azure テーブルストレージ、アカウント:Azure SQL Database|画像:Azure Blob ストレージ、アカウント: Azure テーブルストレージ|画像:Azure Cosmos DB、アカウント:Azure SQL Database|||||A|"正しい選択はAです。理由は以下の通りです。画像にはAzure Blob ストレージを使用することで、保存時の暗号化と50MBまでの大容量バイナリファイルの格納が可能です。顧客アカウントデータにはAzure Cosmos DBを使用することで、グローバル分散、複数リージョンでの読み取り/書き込み、低遅延および自動スケーリングが可能になります。他の選択肢は画像やアカウントデータの要件を満たすには適していません。"|Microsoft Azure ドキュメント|Cloud::Azure::BlobStorage, Cloud::Azure::CosmosDB, Cloud::Azure::FrontDoor, Cloud::Azure::WAF
RTOとRPOのニーズが異なるオンプレミスアプリが3つあります。営業(セカンダリーDCへの遅延)、ファイナンス(RTO 10分、Azureでの運用、7年間のリテンション)、レポート作成(日次復旧、RTO 8時間)。それぞれにどのDRソリューションがありますか?|販売:サイトリカバリーのみ、ファイナンス:サイトリカバリーとバックアップ、レポート:バックアップのみ|販売:サイトリカバリーのみ、ファイナンス:バックアップのみ、レポート作成:サイトリカバリーとバックアップ|営業:バックアップのみ、財務:サイトリカバリーのみ、レポート作成:サイトリカバリーとバックアップ|販売:サイトリカバリーとバックアップ、ファイナンス:サイトリカバリーのみ、レポート:バックアップのみ|||||B|"正しい選択はBです。理由は以下の通りです。販売アプリはダウンタイムを最小化するため、Azure Site Recoveryによるフェイルオーバーのみで対応可能です。ファイナンスはRTO 10分と7年間のリテンションが必要なため、Site Recoveryによる高速DRとバックアップによる長期保持の両方を組み合わせます。レポート作成は日次復旧、RTO 8時間で済むため、バックアップのみで十分です。他の選択肢は、各アプリのRTO/RPO要件を適切に満たしていません。"|Microsoft Azure ドキュメント|Cloud::Azure::SiteRecovery, Cloud::Azure::Backup, Cloud::Azure::DR, Cloud::BusinessContinuity
VNET と同じ VNET で外部モードで Azure API 管理サービスをデプロイします(Web API をホストします)。APIMは別のサブネット内にあります。パートナーはインターネット経由でAPIを利用できますか?APIMはVM1にアクセスできますか?VPNゲートウェイは必要ですか?|はい、はい、いいえ|はい、いいえ、はい|いいえ、はい、はい|いいえ、いいえ、いいえ|||||A|"正しい選択はAです。理由は以下の通りです。外部モードのAPIMはパブリックエンドポイントを提供し、パートナーはインターネット経由でAPIにアクセス可能です。APIMは同じVNet内の別サブネットにあるVM1にプライベートIPでアクセス可能で、VNet内接続にはVPNゲートウェイは不要です。他の選択肢は、インターネットアクセスやVPNの必要性に関する理解が誤っています。"|Microsoft Azure ドキュメント|Cloud::Azure::APIM, Cloud::Azure::VNet, Cloud::Azure::Subnet, Cloud::Azure::Networking
Azure VM には、SQL インジェクションからの保護が必要な Web アプリと、最小限のコード変更でレイヤー7のロードバランサーが必要です。どのAzureサービスと機能を使用すべきですか?|サービス:Azure Load Balancer、機能:WAF|サービス:Azure Application Gateway、機能:WAF|サービス:Azure Traffic Manager、機能:SSLオフロード|サービス:Azureフロントドア、機能:URLベースのルーティング|||||B|"正しい選択はBです。理由は以下の通りです。Azure Application Gatewayはレイヤー7のロードバランサーであり、WAF機能によりSQLインジェクションなどの攻撃からWebアプリを保護できます。WAFはエッジで攻撃を防ぐため、既存のアプリケーションコードへの変更は最小限で済みます。他の選択肢は、レイヤー4のロードバランサーやDNSベースのルーティングなど、SQLインジェクション保護やレイヤー7機能を提供できないため適していません。"|Microsoft Azure ドキュメント|Cloud::Azure::ApplicationGateway, Cloud::Azure::WAF, Cloud::Azure::LoadBalancing, Cloud::Azure::WebSecurity
階層化されたWebアプリケーションを実行するAzure仮想マシンのディザスタリカバリー戦略を設計しています。このアプリケーションは、データ、ログ、およびバイナリに複数のディスクを使用します。30分のRTOと5分のRPOを必ず確保する必要があります。どのAzureサービスを利用すべきですか?|Azure バックアップ|Azure Site Recovery|Azure ストレージのレプリケーション|Azure VM スナップショット|||||B|"正しい選択はBです。理由は以下の通りです。Azure Site Recoveryは、複数ディスクを含むVM全体の複製、フェイルオーバー、フェイルバックを自動化でき、30分のRTOと5分のRPOを満たせます。階層型Webアプリケーションに対しても、OSディスクとデータディスクを含む完全なDRオーケストレーションを提供します。バックアップやスナップショット、ストレージレプリケーションでは、この厳格なRTO/RPO要件や自動化された災害復旧は実現できません。"|Microsoft Azure ドキュメント|Cloud::Azure::SiteRecovery, Cloud::Azure::VM, Cloud::Azure::DR, Cloud::Azure::Backup
Azure Kubernetes Service(AKS)クラスターがあり、コードに認証情報を保存せずにAzure SQLデータベースに安全にアクセスする必要があります。どの認証方法を使うべきですか?|SQL Server 認証|Azure AD ポッド管理済みID|共有アクセス署名|秘密付きAzureキーバールト|||||B|"正しい選択はBです。理由は以下の通りです。Azure ADポッド管理型IDを使用することで、AKSの各ポッドはコードに認証情報を埋め込むことなくAzure SQL Databaseにアクセスできます。ポッドはAzure ADトークンを取得し、SQL DatabaseのAzure ADユーザーにマッピングされて認証されます。他の選択肢は、コードに認証情報を含める必要があるか、Azure SQL Databaseには適用できないため、このシナリオには適していません。"|Microsoft Azure ドキュメント|Cloud::Azure::KubernetesService, Cloud::Azure::AD, Cloud::Azure::SQLDatabase, Cloud::Azure::ManagedIdentity
Azure Cosmos DB を使用するグローバル分散アプリケーションを展開しています。すべての地域で強い一貫性を確保しつつ、読み取りや書き込みの遅延を最小限に抑える必要があります。どの一貫性レベルとマルチリージョンの書き込み設定を使用すべきですか?|強い一貫性、単一地域が記述する|束縛された古さ、複数地域が執筆|セッションの一貫性、複数リージョンによる書き込み|強い一貫性、複数地域が記述|||||A|"正しい選択はAです。理由は以下の通りです。Azure Cosmos DBで全地域にわたる強い一貫性を確保するには、書き込みを単一リージョンに限定する必要があります。これにより、書き込み完了後すぐにすべてのリージョンで最新データが保証され、遅延を最小限に抑えることができます。マルチリージョン書き込みを有効にすると、真の強い一貫性は維持できず、他の一貫性レベル(BやC)では要件を満たせません。"|Microsoft Azure ドキュメント|Cloud::Azure::CosmosDB, Cloud::Azure::GlobalDistribution, Cloud::Azure::Consistency
Azure Stream Analytics を使用して、リアルタイムデータ処理パイプラインを構築しています。データはIoT Hubから取得され、低遅延で処理され、Azure Data LakeおよびPower BIに保存する必要があります。どのストリーミングの一貫性レベルと出力順序を使用すべきですか?|最終的な一貫性、到着順序での出力|到着順序で出力すると、正確に一度|少なくとも一度は、到着順序で出力|正確に一度、処理順序で出力|||||C|"正しい選択はCです。理由は以下の通りです。Azure Stream Analyticsでは、少なくとも一度の配信と到着順序での出力を使用することで、すべてのイベントが処理されることを保証しつつ、到着順序を維持できます。これにより、リアルタイムのデータレイクやPower BIへの低遅延配信が可能となります。エンドツーエンドでの正確に一度保証は遅延や複雑性のため一般的にサポートされず、最終的な一貫性では予測可能な順序や一貫した結果が得られません。"|Microsoft Azure ドキュメント|Cloud::Azure::StreamAnalytics, Cloud::Azure::IoTHub, Cloud::Azure::DataLake, Cloud::Azure::PowerBI
安全なAzure Storageアカウントを設計しており、特定のIP範囲からのアクセスのみを許可し、保存時および転送中の暗号化を必要とします。どの機能の組み合わせを有効にすればよいですか?|ファイアウォールと仮想ネットワーク、HTTPS、Azureストレージ暗号化|共有アクセス署名、Azure AD認証、顧客管理済みキー|プライベートエンドポイント、サービスエンドポイント、インフラストラクチャ暗号化|ネットワークセキュリティグループ、Azure DNS Private Zones、SSE with PMK|||||A|正解はAです。特定のIP範囲からのアクセスのみを許可するには、Azure Storageアカウントのファイアウォールと仮想ネットワーク設定を用いて許可IPや許可サブネットを定義するのが最も直接的です。転送中の暗号化はHTTPS必須設定によって実現され、HTTPによる平文通信を拒否できます。保存時の暗号化はAzure Storage暗号化によって満たされます。Bは認証や鍵管理には有効ですが、IP許可リストやHTTPS必須を直接満たしません。Cはネットワーク分離には関係しますが、問題が要求するIP範囲制限とHTTPS必須に対して最も直接的な組み合わせではありません。DのNSGやPrivate DNS ZoneはStorageアカウント自体のIP制限や転送中暗号化の中心的機能ではなく、要件を十分に満たしません。|Microsoft Learn: Azure Storage security and network access concepts|Azure::Storage|Azure::Storage::Security|Azure::Networking|Security::Encryption|Cloud::Architecture
Azure Service Bus のキューからのメッセージを Azure Functions で処理する必要がある。さらに、コールドスタートなしで継続的に実行する必要がある。この要件を満たすホスティングプランとトリガーの組み合わせはどれか。|消費プラン + Service Bus トリガー|プレミアムプラン + Service Bus トリガー|App Service プラン + HTTP トリガー|専用プラン + Timer トリガー|||||B|Service Bus のメッセージをイベント駆動で処理するには Service Bus Trigger を使用する必要がある。また、Consumption Plan はアイドル時にインスタンスが停止するためコールドスタートが発生する可能性がある。一方 Premium Plan は事前ウォームされたインスタンスを保持するためコールドスタートを回避できる。HTTP Trigger は Service Bus メッセージ処理に適さず、Timer Trigger はスケジュール実行のためイベント駆動のキュー処理には適していない。|Azure Functions hosting plan and triggers|Azure::Functions Azure::ServiceBus Cloud::Serverless Architecture::EventDriven
ミッションクリティカルなAzure VMが計画メンテナンスと予期しない障害の両方に耐えるようにするため、最適な構成はどれか?|管理されたディスクを1つのゾーンに持つ単一仮想マシン|可用性セット内の複数のVM（単一リージョン）|2つの可用性ゾーンに分散した複数のVM|Ultra DiskとAzure Backupを使用した単一VM|||||C|可用性ゾーンにVMを分散することで、データセンター単位の障害や計画メンテナンスに対してもサービスを継続できる高可用性構成となる。可用性セットはラックやハードウェア障害には強いがゾーン障害には対応できない。単一VM構成は単一障害点となるためミッションクリティカル用途には不適切。|Azure Architecture High Availability|Azure::VM,Azure::AvailabilityZones,Azure::HighAvailability,Cloud::Architecture
Azure Logic Apps を使用してオンプレミスの SAP システムと統合する必要があります。Logic App は事前定義されたスケジュールで実行され、大量のデータを処理する必要があります。どのトリガーとコネクタの組み合わせが最適ですか?|HTTPトリガー + SAPコネクタ|Recurrenceトリガー + SAPコネクタ（オンプレミスデータゲートウェイ）|Service Busトリガー + Azure Functionsプロキシ|Event Gridトリガー + API Management|||||B|Logic App をスケジュール実行するには Recurrence トリガーが最適である。オンプレミスの SAP システムに接続するためには On-premises Data Gateway が必要であり、Logic Apps の SAP コネクタは RFC や BAPI など SAP 固有の操作をサポートする。HTTP や Event Grid、Service Bus はイベント駆動型であり、スケジュールバッチ処理には適していない。また Service Bus や Functions を利用する構成は不必要に複雑になる。|Microsoft Azure Integration Architecture|Azure::LogicApps Azure::SAP Azure::OnPremisesGateway Cloud::Integration Cloud::BatchProcessing
Azure への多層アプリケーション移行で、予測不能な負荷の Web 層と安定したパフォーマンスを必要とする DB 層があります。コスト最小化と DB の独立最適化を満たす構成はどれですか?|Azure App Service + 単一 Azure SQL Database|Azure VM Scale Sets + Azure SQL Elastic Pool|Azure App Service + Azure SQL Database Elastic Pool|Azure VM Scale Sets + Azure SQL Hyperscale|||||C|Web 層は予測不能な負荷に対応するため Auto Scale が可能な PaaS の Azure App Service が適している。DB 層では Azure SQL Elastic Pool を使用すると複数データベースがリソースを共有できるためコスト効率が高く、DBごとにパフォーマンス調整も可能になる。VM Scale Sets は管理負荷が高く、Hyperscale は巨大単一 DB 用であり要件に対して過剰である。|Microsoft Azure Architecture|Azure::AppService Azure::SQLDatabase Azure::ElasticPool Cloud::Architecture Cloud::MultiTier Cloud::Scalability
子会社 Fabrikam のユーザーが特定アプリケーションへアクセスする必要があり、そのアクセスは Fabrikam の外部マネージャーが四半期ごとに確認する必要があります。IT 管理のオーバーヘッドを最小化するには何を実装すべきですか?|Azure AD で Fabrikam ユーザーごとにゲストユーザーを作成|Azure AD B2B コラボレーションを使用し Fabrikam ユーザー向けアクセスレビューを作成|Fabrikam 用の別 Azure AD テナントを作成し B2B Direct Connect を使用|Microsoft アカウントを発行しゲストとして追加|||||B|Azure Entra ID B2B コラボレーションを使用すると外部組織ユーザーをゲストとして安全に招待できる。Access Reviews を設定することで外部マネージャーによる四半期レビューを自動化でき、不要アクセスは自動削除される。これにより IT 管理のオーバーヘッドを最小化しながら外部ユーザーのアクセスガバナンスを実現できる。他の選択肢は手動管理や複雑なテナント管理を増やしてしまう。|Microsoft Azure Identity Governance|Azure::EntraID Azure::B2B Azure::AccessReviews Security::IAM Security::AccessGovernance
機密性の高い財務データを処理するアプリケーションを Azure に導入する必要があります。セキュリティ要件としてインフラを他顧客ワークロードから物理的に隔離し、基盤ホストへの独占アクセスが必要です。どのソリューションを実装すべきですか?|Azure VM を個別の可用性セットで展開|Azure Dedicated Host を使用して Azure VM をデプロイ|Azure App Service Environment (ASE) にデプロイ|別サブスクリプションで Azure VM をデプロイ|||||B|Azure Dedicated Host は物理サーバーを単一サブスクリプション専用に割り当てるサービスであり、他の顧客とハードウェアを共有しない。これにより物理的隔離とホストへの専有アクセスを実現できる。可用性セットや別サブスクリプションは論理分離のみであり物理ホスト共有の可能性がある。ASE もネットワーク分離は提供するが物理ホスト専有ではない。|Microsoft Azure Compute|Azure::VirtualMachines Azure::DedicatedHost Cloud::Isolation Security::Infrastructure
大量のテレメトリデータを保存する必要があり、7年間保持する必要があります。30日後はほとんどアクセスされませんが、監査要求があった場合には数分以内に取得できる必要があります。コストを最小化するストレージ構成はどれですか?|Blob Storage Hot + Archive|Azure Data Lake Storage Gen2 + 30日後 Cool tier|Azure Table Storage|Azure SQL Database|||||B|Archive tier は最も低コストだが、データ取得時に rehydration（再水和）が必要になり、アクセスまでに時間がかかる場合がある。そのため監査要求の「数分以内にアクセス」という要件を満たせない可能性がある。一方で Azure Data Lake Storage Gen2 の Cool tier は低コストでありながらオンラインアクセスが可能で、監査時にも即座にデータ取得ができる。またライフサイクル管理ポリシーを使用することで、30日後に自動で Cool tier に移動させ、長期保存のコストを最適化できる。|Microsoft Azure Storage Architecture|Azure::Storage Azure::ADLSGen2 Azure::LifecycleManagement Cloud::CostOptimization
企業は、本番環境内のすべての Azure SQL Database で透過的データ暗号化（TDE）を有効にしたいと考えています。さらに、非準拠リソースが見つかった場合には自動的に修復できる必要があります。どの Azure サービスと構成を使用すべきですか?|Azure Policy Initiative + DeployIfNotExists|Azure Blueprints|Azure Automation + PowerShell Script|Azure Security Center Auto Provisioning|||||A|Azure Policy を使用すると Azure リソースの構成を継続的に評価できる。DeployIfNotExists エフェクトを使用することで、非準拠の Azure SQL Database が検出された場合に TDE を自動的に有効化する修復処理を実行できる。これによりコンプライアンスを自動的に維持できる。|Microsoft Azure Governance|Azure::Policy Azure::SQLDatabase Azure::TDE Cloud::Governance Security::Encryption
Azure アプリケーション用ネットワークを設計しており、PaaS サービスを使用します。VNet から PaaS への通信はインターネットを経由せず、さらにオンプレミスネットワークから PaaS サービスへアクセスできないようにする必要があります。どの設定を使用すべきですか?|サブネットのサービスエンドポイントポリシー|PaaS サービスのプライベートエンドポイント|強制トンネル付き VPN ゲートウェイ|NSG でパブリックアクセスをブロック|||||B|Private Endpoint を使用すると PaaS サービスに対して VNet 内のプライベート IP を割り当てることができる。これにより VNet から PaaS への通信は Azure バックボーンネットワーク内で完結し、インターネットを経由しない。また Private Endpoint は特定の VNet に紐付くため、オンプレミスネットワークから直接アクセスすることを防ぐことができる。|Microsoft Azure Networking|Azure::PrivateEndpoint Azure::PrivateLink Azure::Networking Cloud::NetworkSecurity
アプリケーションが Azure 仮想マシンに移行されています。プライマリリージョン内の2つの可用性ゾーンが障害になってもアプリケーションは利用可能である必要があります。また仮想マシンは基盤となる物理ハードウェアを他の顧客と共有してはなりません。最も費用対効果の高い構成はどれですか?|単一の可用性セットに VM を配置|単一の可用性ゾーンに VM を配置|Azure Dedicated Host を使用して3つの可用性ゾーンに VM を配置|2つの異なる Azure リージョンに VM を配置|||||C|2つの可用性ゾーンが障害になってもアプリケーションを稼働させるためには少なくとも3つのゾーンにワークロードを分散する必要がある。また物理ホストを他の顧客と共有しないという要件を満たすには Azure Dedicated Host を使用する必要がある。Dedicated Host を各 Availability Zone に配置することでゾーン障害への耐性と物理ハードウェアの専有を同時に実現できる。|Microsoft Azure Architecture|Azure::VirtualMachines Azure::DedicatedHost Azure::AvailabilityZones Cloud::HighAvailability
ビジネスクリティカルなアプリケーションをホストする Azure 仮想マシンのバックアップ戦略を設計する必要があります。RPO は 4 時間で、バックアップデータは 90 日間不変である必要があります。どのソリューションを実装すべきですか?|Azure Backup + Instant Snapshot|Azure Site Recovery replication|Azure Backup + Immutable Recovery Services Vault|Manual weekly disk snapshots|||||C|Azure Backup を使用して Recovery Services Vault にバックアップを保存し、Immutable Vault を有効化することでバックアップデータを WORM モデルで保存できる。これにより 90 日間バックアップデータの削除や変更を防止でき、ランサムウェアや誤削除から保護できる。またバックアップポリシーを設定することで RPO 4 時間の要件も満たすことができる。|Microsoft Azure Backup Architecture|Azure::Backup Azure::RecoveryServicesVault Azure::ImmutableVault Cloud::DataProtection
EA にリンクされた Azure サブスクリプションがあります。管理グループ階層内のすべての現在および将来のサブスクリプションの仮想ネットワークを管理する権限をチームに付与する必要があります。最小特権の原則に従う必要があります。何を実行すべきですか?|ルート管理グループで Network Contributor ロールを割り当てる|カスタム RBAC ロールを作成して各サブスクリプションに割り当てる|管理グループに Owner ロールを割り当てる|各サブスクリプションに Network Contributor を割り当てる|||||A|Azure RBAC は階層型スコープを持ち、管理グループで割り当てられた権限は配下のすべてのサブスクリプションに継承される。ルート管理グループで Network Contributor ロールを割り当てることで、現在および将来のすべてのサブスクリプションに対して仮想ネットワーク管理権限を自動的に適用できる。また Network Contributor はネットワーク管理に限定された権限のため最小特権の原則にも適合する。|Microsoft Azure RBAC|Azure::RBAC Azure::ManagementGroups Azure::Networking Cloud::Governance Security::LeastPrivilege
A .NET Web アプリケーションが Azure App Service にデプロイされています。アプリケーションはファイルをオンプレミスのファイルサーバーに複製する必要があります。オンプレミスユーザーは SMB プロトコルでファイルにアクセスする必要があります。継続的な管理を最小限にするにはどの2つのサービスを使用するべきですか?|Azure Blob Storage|Azure Files|Azure File Sync|Azure Data Box Gateway|Azure Import/Export Service||||B C|Azure Files は SMB プロトコルをサポートするクラウドファイル共有サービスであり、App Service からファイルを保存できる。Azure File Sync を使用するとオンプレミスのファイルサーバーと Azure Files を自動的に同期できるため、オンプレミスユーザーは従来通り SMB でアクセスできる。この構成によりクラウドとオンプレミスのハイブリッドファイル共有を最小管理で実現できる。|Microsoft Azure Storage Architecture|Azure::Files Azure::FileSync Azure::Storage Cloud::HybridStorage
オンプレミスネットワークと Azure 間の接続を設計しています。公共インターネットを経由しない高帯域のプライベート接続と保証された SLA が必要です。また Microsoft 365 などの Microsoft サービスにもアクセスする必要があります。どの構成を推奨しますか?|サイト間 VPN のみ|Microsoft Peering のみの ExpressRoute|Private Peering のみの ExpressRoute|Private Peering の ExpressRoute とフェイルオーバー用 Site-to-Site VPN|||||D|ExpressRoute はオンプレミスネットワークと Azure を Microsoft のバックボーンネットワークで接続する専用回線であり、公共インターネットを経由しない高帯域接続と SLA を提供する。Private Peering により Azure 仮想ネットワークへ接続できる。さらに Site-to-Site VPN をフェイルオーバーとして構成することで ExpressRoute 障害時の冗長接続を確保できるため、最も信頼性の高いハイブリッド接続構成になる。|Microsoft Azure Networking|Azure::ExpressRoute Azure::VPN Azure::HybridNetworking Cloud::HighAvailability
アプリケーションが Managed Identity を使用して Azure Key Vault に認証し、シークレットを取得します。アプリケーションが特定の Key Vault からのみシークレットを読み取ることができ、Azure の他の権限を持たないようにするにはどの方法で Managed Identity を承認すべきですか?|Azure RBAC ロール割り当て|Key Vault アクセスポリシー|条件付きアクセスポリシー|Azure AD アプリケーション権限|||||B|Key Vault Access Policy を使用すると特定の Key Vault に対して Managed Identity に細かい権限を付与できる。シークレットの Get や List など必要最小限の操作だけを許可することで最小特権の原則を満たすことができる。またこの権限は特定の Key Vault にのみ適用されるため Azure 内の他のリソースへの権限は付与されない。|Microsoft Azure Key Vault|Azure::KeyVault Azure::ManagedIdentity Azure::Security Cloud::SecretsManagement
オンプレミスの SQL Server データベース（4TB）を Azure に移行する必要があります。トランザクションログの増加率が高く、ダウンタイムを最小限にする必要があります。どの移行方法を使用すべきですか?|DMS オフラインモード|DMS オンラインモード|URL へのバックアップと復元|SSMS Azure SQL デプロイウィザード|||||B|Azure Database Migration Service のオンラインモードでは、初期データロード後にトランザクションログを継続的に同期することでソースデータベースを稼働させたまま移行を進めることができる。最終カットオーバー時のみ短時間の停止が必要になるため、大規模データベースやログ増加率が高いシステムでもダウンタイムを最小化できる。|Microsoft Azure Database Migration Service|Azure::DMS Azure::SQLServer Azure::DatabaseMigration Cloud::OnlineMigration
Azure Kubernetes Service（AKS）クラスターを設計しています。Azure データセンター全体の障害にも耐える非常に高い可用性が必要です。制御プレーン管理の運用負荷は最小限にする必要があります。どの構成が最適ですか?|可用性ゾーンに分散した単一 AKS クラスター|単一ゾーンの AKS クラスター|2つのリージョンに AKS クラスターを配置し Azure Traffic Manager を使用|複数リージョンにまたがる単一 AKS クラスター|||||C|AKS クラスターは単一リージョンのサービスであるため、リージョン障害に耐えるには複数リージョンに独立したクラスターを配置する必要がある。Azure Traffic Manager を使用することで DNS ベースのトラフィックルーティングと自動フェイルオーバーを実現できるため、データセンターまたはリージョン障害時でもサービス継続が可能になる。|Microsoft Azure AKS Architecture|Azure::AKS Azure::TrafficManager Azure::HighAvailability Kubernetes::Architecture
Azure App Service を監視し、アプリケーションコンポーネント間の依存関係を追跡してパフォーマンスボトルネックを分析する必要があります。アプリケーションコードの変更は行えません。どのサービスを使用すべきですか?|Azure Monitor for VMs|Azure Application Insights|Azure Network Watcher|Azure Service Health|||||B|Azure Application Insights はアプリケーションパフォーマンス監視（APM）サービスであり、リクエスト追跡、依存関係トラッキング、例外監視などを提供する。Azure App Service と統合することでコード変更なしでもアプリケーションのテレメトリを収集でき、パフォーマンスボトルネックやコンポーネント間の依存関係を分析できる。|Microsoft Azure Monitor|Azure::ApplicationInsights Azure::AppService Azure::Monitoring DevOps::APM
オンプレミス Active Directory と Azure AD Connect を使用したハイブリッド ID 環境があります。オンプレミス Active Directory が利用できなくなった場合でもユーザーが Azure リソースにサインインできるようにする必要があります。どの認証方法を使用すべきですか?|Password Hash Synchronization|Pass-through Authentication|AD FS|Seamless SSO|||||A|Password Hash Synchronization はオンプレミス AD のパスワードハッシュを Azure AD に同期し、Azure AD がクラウド側でユーザー認証を実行する方式である。そのためオンプレミス Active Directory が利用できなくなった場合でも Azure AD が独立して認証を実行できる。一方 PTA や AD FS はオンプレミス AD に依存するため、オンプレミス障害時には認証ができなくなる。|Microsoft Entra ID Architecture|Azure::EntraID Azure::ADConnect Azure::PasswordHashSync Security::Authentication
データアーカイブソリューションを設計しています。規制要件によりデータを WORM（Write Once Read Many）状態で 5 年間保存する必要があります。どの Azure ストレージ機能を使用すべきですか?|Blob Soft Delete|Azure Blob Storage Immutable Storage|Azure Storage Encryption|Blob Versioning|||||B|Azure Blob Storage の Immutable Storage は WORM（Write Once Read Many）ポリシーをサポートしており、設定された保持期間中はデータの削除や変更を禁止できる。これにより規制コンプライアンスのためのデータ保持を実現できる。Soft Delete や Versioning は復旧機能であり不変性は保証しない。|Azure Storage Documentation|Azure::BlobStorage Azure::ImmutableStorage Compliance::WORM Storage::DataRetention
Azure Storage アカウントへのアクセスを特定の Azure 仮想ネットワークおよび特定のパブリック IP 範囲のみに制限する必要があります。さらにパブリックアクセスは完全に無効にする必要があります。どの構成を設定すべきですか?|Service Endpoints と Storage Firewall|Private Endpoint のみ|Private Endpoint と Storage Firewall|Network Security Group|||||C|Private Endpoint を使用するとストレージアカウントへの接続を特定の VNet 内のプライベート IP 経由に制限できる。Storage Firewall を使用するとパブリックネットワークアクセスを無効化し、特定の IP 範囲のみ管理アクセスを許可できる。この2つを組み合わせることで VNet 限定アクセスとパブリック IP 制御の両方を実現できる。|Azure Storage Networking Documentation|Azure::Storage Azure::PrivateEndpoint Azure::StorageFirewall Azure::NetworkSecurity
Azure 仮想マシンでホストされているアプリケーションのディザスタリカバリを設計しています。RTO は 1 時間、RPO は 15 分です。通常運用時のコストも最小化する必要があります。どのソリューションを推奨すべきですか?|Azure Site Recovery をセカンダリリージョンへ|Azure Backup + GRS|15 分ごとの VM スナップショット|Azure Traffic Manager フェイルオーバー|||||A|Azure Site Recovery は仮想マシンをセカンダリリージョンへ継続的にレプリケーションし、災害発生時に自動フェイルオーバーを実行できる。これにより RPO 約 15 分と短い RTO を実現できる。また通常時はセカンダリ VM を起動しないためコスト効率も高い。|Azure Site Recovery Documentation|Azure::SiteRecovery Azure::VirtualMachines DR::RTO DR::RPO BusinessContinuity::DisasterRecovery
企業はコンテナ化されたアプリケーションを導入する予定です。IT チームは Kubernetes の管理経験が限られており、管理された Kubernetes 環境が必要です。また Docker Compose のような使い慣れたツールを利用できる必要があります。どの Azure サービスを推奨すべきですか?|Azure Kubernetes Service|Azure Container Instances|Azure App Service with Containers|Azure Red Hat OpenShift|||||A|Azure Kubernetes Service（AKS）は Azure が管理する Kubernetes サービスであり、コントロールプレーンの管理を Azure が行うため運用負荷を軽減できる。また標準 Kubernetes を使用するため Docker ベースのワークフローやツールとの互換性も高い。|Azure AKS Documentation|Azure::AKS Azure::Containers Kubernetes::ManagedCluster DevOps::Docker
